date,team,home_rating,away_rating
2012-07-25,Wolfsberger AC,-0.0857142857142857,-0.05714285714285714
2012-07-29,Wolfsberger AC,-0.0036067116198839344,0.06601850399874548
2012-08-04,Wolfsberger AC,-0.11902000859123693,-0.010923693982156535
2012-08-11,Wolfsberger AC,-0.21249474724504883,-0.15113580196287435
2012-08-18,Wolfsberger AC,-0.2883168699154952,-0.20168388374317192
2012-08-26,Wolfsberger AC,-0.17969266066962103,-0.12926774424592247
2012-09-01,Wolfsberger AC,-0.1687326801365758,-0.11282777344635464
2012-09-15,Wolfsberger AC,-0.005720557834012124,-0.004153025244645503
2012-09-22,Wolfsberger AC,0.027721944189074144,0.0460107277899839
2012-09-29,Wolfsberger AC,0.05281121616826963,0.08364463575877712
2012-10-06,Wolfsberger AC,-0.08700672012870804,-0.00956732177254134
2012-10-20,Wolfsberger AC,-0.17568294545574414,-0.1425816597630955
2012-11-03,Wolfsberger AC,-0.18522237290915583,-0.15689080094321303
2012-11-11,Wolfsberger AC,-0.09839904285016766,-0.02665580585473079
2012-11-17,Wolfsberger AC,-0.12052491939104654,-0.0414063902153167
2012-11-24,Wolfsberger AC,-0.19208423293961152,-0.14874536053816417
2012-11-27,Wolfsberger AC,-0.1385363174142009,-0.1130467501878904
2012-12-01,Wolfsberger AC,-0.20497444856632596,-0.15733883762264045
2012-12-08,Wolfsberger AC,-0.32145253361237386,-0.23499089432000575
2013-02-20,Wolfsberger AC,-0.2859364832181759,-0.18171681872870882
2013-02-24,Wolfsberger AC,-0.19793172845965618,-0.04970968659092928
2013-03-03,Wolfsberger AC,-0.09099893968479647,0.02157883925897719
2013-03-06,Wolfsberger AC,-0.013321600573475298,0.07336373199985798
2013-03-09,Wolfsberger AC,0.012168304135125301,0.11159858906275888
2013-03-13,Wolfsberger AC,0.0564237547905225,0.14110222283302368
2013-03-16,Wolfsberger AC,-0.00908454384722189,0.09743002374119408
2013-03-30,Wolfsberger AC,0.018950500633264408,0.13948259046192352
2013-04-06,Wolfsberger AC,0.12485587020583401,0.29834064482077793
2013-04-13,Wolfsberger AC,0.003258962864833209,0.2172760399267774
2013-04-20,Wolfsberger AC,-0.09292634062091427,0.07299808469815619
2013-04-27,Wolfsberger AC,0.045168124391867806,0.16506106137334425
2013-05-04,Wolfsberger AC,-0.04327570277534157,0.0323953206225302
2013-05-11,Wolfsberger AC,-0.03618112145979859,0.04303719259584466
2013-05-18,Wolfsberger AC,-0.09849135299851586,0.0014970382366998117
2013-05-22,Wolfsberger AC,-0.18458202856190586,-0.12763897510838518
2013-05-26,Wolfsberger AC,-0.2877518429855401,-0.196418851390808
2013-07-20,Wolfsberger AC,-0.23118878714140992,-0.15871014749472123
2013-07-27,Wolfsberger AC,-0.2818903972727314,-0.23476256269170348
2013-08-03,Wolfsberger AC,-0.3449935517321061,-0.3294172943807655
2013-08-10,Wolfsberger AC,-0.3474092825837272,-0.3310277816151796
2013-08-17,Wolfsberger AC,-0.38611578805730157,-0.3890875398255411
2013-08-24,Wolfsberger AC,-0.4927742603797568,-0.46019318804051124
2013-08-31,Wolfsberger AC,-0.5849399628430998,-0.5984417417355258
2013-09-14,Wolfsberger AC,-0.4681416492291192,-0.5205761993262054
2013-09-22,Wolfsberger AC,-0.3915859740706752,-0.40574268658853935
2013-09-28,Wolfsberger AC,-0.29986751975324266,-0.2681650051123906
2013-10-05,Wolfsberger AC,-0.26031214169326455,-0.24179475307240522
2013-10-19,Wolfsberger AC,-0.3031373627495472,-0.2703449004432603
2013-10-26,Wolfsberger AC,-0.25438618852127515,-0.19721813910085217
2013-11-02,Wolfsberger AC,-0.21493616382203862,-0.17091812263469447
2013-11-09,Wolfsberger AC,-0.22326069821640515,-0.18340492422624427
2013-11-30,Wolfsberger AC,-0.31824167969669337,-0.3258763964466766
2013-12-04,Wolfsberger AC,-0.2619066469185578,-0.28831970792791956
2013-12-08,Wolfsberger AC,-0.1500418100341005,-0.21374315000494803
2013-12-11,Wolfsberger AC,-0.06661779254597101,-0.15812713834619505
2013-12-14,Wolfsberger AC,0.018282772337652214,-0.03077629102076021
2013-12-18,Wolfsberger AC,-0.009389538739714529,-0.07228475763681032
2014-02-08,Wolfsberger AC,0.0025212536048506377,-0.0643442294071002
2014-02-15,Wolfsberger AC,-0.08817174177183396,-0.2003837224721271
2014-02-22,Wolfsberger AC,-0.034779341220020805,-0.16478878877091832
2014-03-01,Wolfsberger AC,0.05896981670258288,-0.024165051887012817
2014-03-08,Wolfsberger AC,-0.05036120878238665,-0.09705240221032585
2014-03-16,Wolfsberger AC,-0.14082328096780203,-0.2327455104884489
2014-03-22,Wolfsberger AC,-0.227927211406834,-0.3634014061469969
2014-03-26,Wolfsberger AC,-0.3538971924281967,-0.44738139349457207
2014-03-29,Wolfsberger AC,-0.20765255576519182,-0.3498849690525688
2014-04-05,Wolfsberger AC,-0.1547427478614367,-0.2705202571969361
2014-04-12,Wolfsberger AC,-0.2435117151281045,-0.32969956870804795
2014-04-19,Wolfsberger AC,-0.3074721571683977,-0.42564023176848775
2014-04-27,Wolfsberger AC,-0.37999183236527273,-0.4739866818997378
2014-05-04,Wolfsberger AC,-0.4131764727209476,-0.5237636424332501
2014-05-11,Wolfsberger AC,-0.2643569822385192,-0.4245506487782979
2014-07-19,Wolfsberger AC,-0.16809598218379998,-0.28015914869621905
2014-07-26,Wolfsberger AC,-0.014423199829894123,-0.17771062712694846
2014-08-03,Wolfsberger AC,0.07016590482092025,-0.05082697015072693
2014-08-09,Wolfsberger AC,0.13186039268298919,0.04171476164237646
